chord,freq,contains,,data,,,,
,,,,viio,,,,
,,,,i,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,VI,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,viio7,,,,
,,,,VI,,,,
,,,,v,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,i,,,,
,,,,VII,,,,
,,,,iii,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,i,,,,
,,,,bVI,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,iio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,viio7,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,VI,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,ii%7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,ii%7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,ii%7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,#viio,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,v,,,,
,,,,ii,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,V7,,,,
,,,,Ger,,,,
,,,,V7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,ii%7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,i,,,,
,,,,iio,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,vi,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,ii7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,#viio,,,,
,,,,iv,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,III,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V9,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,#vii%,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,#vii%,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,ii,,,,
,,,,#viio7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V9,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,IV,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,iv,,,,
,,,,I,,,,
,,,,iv,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V9,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,ii7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,It,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,iv,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IM7,,,,
,,,,vi7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,vii%7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V9,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,viio,,,,
,,,,V,,,,
,,,,viio7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,viio,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,viio7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,iv,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V,,,,
,,,,v,,,,
