chord,measure,beat,totbeat,op,no,mov,length,global_key,is_major,unified_chord,Case
V,190,3,570,18,1,1,1,FALSE,FALSE,V+,TRUE
V(64),192,1,574,18,1,1,2.25,FALSE,FALSE,V+,TRUE
V,192,3.25,576.25,18,1,1,0.75,FALSE,FALSE,V+,TRUE
V(64)/vi,194,1,580,18,1,1,2,FALSE,FALSE,V+,TRUE
V/vi,194,3,582,18,1,1,1,FALSE,FALSE,V+,TRUE
V6(6),204,1,610,18,1,1,1.5,FALSE,FALSE,V+,TRUE
V6,204,2.5,611.5,18,1,1,3.5,FALSE,FALSE,V+,TRUE
v6,209,2,626,18,1,1,1,FALSE,FALSE,V,TRUE
V,210,1,628,18,1,1,2.5,FALSE,FALSE,V+,TRUE
V,211,1,631,18,1,1,2.5,FALSE,FALSE,V+,TRUE
V,212,1,634,18,1,1,2.5,FALSE,FALSE,V+,TRUE
V,213,1,637,18,1,1,2.5,FALSE,FALSE,V+,TRUE
V,214,1,640,18,1,1,2.5,FALSE,FALSE,V+,TRUE
V,215,1,643,18,1,1,3,FALSE,FALSE,V+,TRUE
V\\\\,216,1,646,18,1,1,0.5,FALSE,FALSE,V+,TRUE
V,3,4,13,18,1,2,1.5,d,TRUE,V,TRUE
V\\\\,9,1,37,18,1,2,2,d,TRUE,V,TRUE
V\\\\,10,1,41.5,18,1,2,1.5,d,TRUE,V,TRUE
V,10,2.5,43,18,1,2,1.5,d,TRUE,V,TRUE
V[V,11,1,46,18,1,2,3,d,TRUE,V,TRUE
V6],12,1,50.5,18,1,2,3,d,TRUE,V,TRUE
V,13,1,55,18,1,2,4.5,d,TRUE,V,TRUE
V\\\\,20,1,86.5,18,1,2,4.5,d,TRUE,V,TRUE
V,22,1,95.5,18,1,2,4.5,d,TRUE,V,TRUE
V/vi,31,1,136,18,1,2,1.5,d,TRUE,V,TRUE
V(64),42,2,186.5,18,1,2,0.5,d,TRUE,V,TRUE
V,42,2.5,187,18,1,2,2.5,d,TRUE,V,TRUE
V(64),44,2.5,196,18,1,2,1.5,d,TRUE,V,TRUE
I.V,75,1,334,18,1,2,4,d,TRUE,V,TRUE
V/vi,81,1,361,18,1,2,1.5,d,TRUE,V,TRUE
V(64),92,2,411.5,18,1,2,0.5,d,TRUE,V,TRUE
V,92,2.5,412,18,1,2,2.66667,d,TRUE,V,TRUE
V(64),94,2.5,421,18,1,2,1.5,d,TRUE,V,TRUE
V64,12,1,34,18,1,3,1,FALSE,FALSE,V+,TRUE
V64/vi,15,1,43,18,1,3,1,FALSE,FALSE,V+,TRUE
V(64),18,1,52,18,1,3,1,FALSE,FALSE,V+,TRUE
V,18,2,53,18,1,3,1,FALSE,FALSE,V+,TRUE
V(64)/ii,20,1,58,18,1,3,1,FALSE,FALSE,V+,TRUE
V/ii,20,2,59,18,1,3,1,FALSE,FALSE,V+,TRUE
V(64),22,1,64,18,1,3,1,FALSE,FALSE,V+,TRUE
V,22,2,65,18,1,3,1,FALSE,FALSE,V+,TRUE
V[V,25,1,73,18,1,3,3,FALSE,FALSE,V+,TRUE
V,27,1,79,18,1,3,3,FALSE,FALSE,V+,TRUE
V],29,1,85,18,1,3,3,FALSE,FALSE,V+,TRUE
V6,30,1,88,18,1,3,2,FALSE,FALSE,V+,TRUE
V,31,1,91,18,1,3,3,FALSE,FALSE,V+,TRUE
V,33,1,97,18,1,3,3,FALSE,FALSE,V+,TRUE
i.V,86,1,256,18,1,3,12,FALSE,FALSE,V+,TRUE
V(b64),100,1,298,18,1,3,2,FALSE,FALSE,V+,TRUE
V,100,3,300,18,1,3,1,FALSE,FALSE,V+,TRUE
V/bVII,106,1,316,18,1,3,12,FALSE,FALSE,V+,TRUE
V\\\\,114,1,340,18,1,3,21,FALSE,FALSE,V+,TRUE
V/vi,121,1,361,18,1,3,3,FALSE,FALSE,V+,TRUE
V(64)/ii,122,1,364,18,1,3,11,FALSE,FALSE,V+,TRUE
V(64)/ii,126,1,376,18,1,3,11,FALSE,FALSE,V+,TRUE
V/V,133,1,397,18,1,3,2,FALSE,FALSE,V+,TRUE
V(64)/V,133,3,399,18,1,3,1,FALSE,FALSE,V+,TRUE
V/V,137,1,409,18,1,3,2,FALSE,FALSE,V+,TRUE
V,137,3,411,18,1,3,4,FALSE,FALSE,V+,TRUE
V,141,1,421,18,1,3,2,FALSE,FALSE,V+,TRUE
V(64),141,3,423,18,1,3,1,FALSE,FALSE,V+,TRUE
V,142,1,424,18,1,3,3,FALSE,FALSE,V+,TRUE
V,144,1,430,18,1,3,3,FALSE,FALSE,V+,TRUE
V,75,2.5,150.5,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V64,76,2,152,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V,76,2.5,152.5,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V(64),78,1,155,18,1,4,1,FALSE,FALSE,V+,TRUE
V\\\\,109,1,217,18,1,4,3.5,FALSE,FALSE,V+,TRUE
V(64),110,2.5,220.5,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V(64),112,2.5,224.5,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V,116,1,231,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V(+b2),123,1,245,18,1,4,2,FALSE,FALSE,V+,TRUE
V(+2),127,1,253,18,1,4,1,FALSE,FALSE,V+,TRUE
.bVI.V6,132,1,263,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V,138,1,275,18,1,4,1.5,FALSE,FALSE,V+,TRUE
V6,141,2.5,282.5,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V,142,1,283,18,1,4,1.5,FALSE,FALSE,V+,TRUE
V(+2),161,1,321,18,1,4,1,FALSE,FALSE,V+,TRUE
V(+2),165,1,329,18,1,4,15,FALSE,FALSE,V+,TRUE
v6,173,1,345,18,1,4,2,FALSE,FALSE,V,TRUE
V,174,1,347,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V[V,177,1,353,18,1,4,2.5,FALSE,FALSE,V+,TRUE
V,179,1,357,18,1,4,2.5,FALSE,FALSE,V+,TRUE
V,181,1,361,18,1,4,2.5,FALSE,FALSE,V+,TRUE
V,183,1,365,18,1,4,2.5,FALSE,FALSE,V+,TRUE
V],185,1,369,18,1,4,4,FALSE,FALSE,V+,TRUE
V(64),204,2.5,408.5,18,1,4,0.5,FALSE,FALSE,V+,TRUE
V(64),207,1,413,18,1,4,4,FALSE,FALSE,V+,TRUE
V,211,1,421,18,1,4,1,FALSE,FALSE,V+,TRUE
V,213,1,425,18,1,4,1,FALSE,FALSE,V+,TRUE
V(+9),213,2,426,18,1,4,1,FALSE,FALSE,V+,TRUE
V6(+2),214,1,427,18,1,4,2,FALSE,FALSE,V+,TRUE
V,311,28.5,648.5,18,1,4,-25.5,FALSE,FALSE,V+,TRUE
V(64),314,1,627,18,1,4,1,FALSE,FALSE,V+,TRUE
V\\\\,51,1,101,18,2,1,2,G,FALSE,V+,TRUE
V(64),52,2,104,18,2,1,0.5,G,FALSE,V+,TRUE
V(64),53,2,106,18,2,1,0.5,G,FALSE,V+,TRUE
V(64),57,2,114,18,2,1,0.5,G,FALSE,V+,TRUE
V(64),58,2,116,18,2,1,0.5,G,FALSE,V+,TRUE
V,87,1,173,18,2,1,2,G,FALSE,V+,TRUE
V,90,1,179,18,2,1,2,G,FALSE,V+,TRUE
.bIII.V,91,1,181,18,2,1,2,G,FALSE,V+,TRUE
V,94,1,187,18,2,1,1.5,G,FALSE,V+,TRUE
V6,96,1,191,18,2,1,0.5,G,FALSE,V+,TRUE
V,96,1.5,191.5,18,2,1,0.5,G,FALSE,V+,TRUE
.bVI.V,98,1,195,18,2,1,1.5,G,FALSE,V+,TRUE
V,99,1,197,18,2,1,1.5,G,FALSE,V+,TRUE
V,100,1,199,18,2,1,0.5,G,FALSE,V+,TRUE
V,100,2,200,18,2,1,0.5,G,FALSE,V+,TRUE
V,101,1,201,18,2,1,2,G,FALSE,V+,TRUE
V,105,1,209,18,2,1,2,G,FALSE,V+,TRUE
V(4),107,1,213,18,2,1,2,G,FALSE,V+,TRUE
V,113,1,225,18,2,1,1.5,G,FALSE,V+,TRUE
V6,113,2.5,226.5,18,2,1,0.5,G,FALSE,V+,TRUE
.biii.V(4),114,1,227,18,2,1,2,G,FALSE,V+,TRUE
V,166,1,331,18,2,1,1,G,FALSE,V+,TRUE
V\\\\,169,1,337,18,2,1,4,G,FALSE,V+,TRUE
V/iv,171,1,341,18,2,1,4,G,FALSE,V+,TRUE
V\\\\,203,1,405,18,2,1,1,G,FALSE,V+,TRUE
V(6),203,2,406,18,2,1,0.5,G,FALSE,V+,TRUE
V(6),204,2,408,18,2,1,0.5,G,FALSE,V+,TRUE
V(6),205,2,410,18,2,1,0.5,G,FALSE,V+,TRUE
V(6),209,2,418,18,2,1,0.5,G,FALSE,V+,TRUE
V(6),210,2,420,18,2,1,0.5,G,FALSE,V+,TRUE
V(64),29,1.5,79.5,127,12,1,1.5,Eb,TRUE,V,TRUE
V64/vi,30,3,84,127,12,1,0.5,Eb,TRUE,V,TRUE
V,31,3,87,127,12,1,1,Eb,TRUE,V,TRUE
V64,33,3,93,127,12,1,1,Eb,TRUE,V,TRUE
V64(2),95,1,271,127,12,1,1,Eb,TRUE,V,TRUE
i6,31,1,91,132,15,5,3,a,TRUE,?,TRUE
V(+6)/ii,175,2,508,127,12,1,1,Eb,TRUE,V,TRUE
V(+6),176,2,511,127,12,1,1,Eb,TRUE,V,TRUE
V6,191,1,555,127,12,1,2,Eb,TRUE,V,TRUE
V(9),195,1,567,127,12,1,1,Eb,TRUE,V,TRUE
V(64),197,1.5,573.5,127,12,1,0.5,Eb,TRUE,V,TRUE
V64,203,3,593,127,12,1,1,Eb,TRUE,V,TRUE
V6,204,3,596,127,12,1,1,Eb,TRUE,V,TRUE
V(64),222,3,650,127,12,1,0.5,Eb,TRUE,V,TRUE
V64(2),224,1,654,127,12,1,1,Eb,TRUE,V,TRUE
V,224,2,655,127,12,1,1,Eb,TRUE,V,TRUE
V6(4),226,1,660,127,12,1,1,Eb,TRUE,V,TRUE
V6,226,2,661,127,12,1,1,Eb,TRUE,V,TRUE
V(4),228,1,666,127,12,1,1,Eb,TRUE,V,TRUE
V,228,2,667,127,12,1,1,Eb,TRUE,V,TRUE
V6/V,259,3,761,127,12,1,4,Eb,TRUE,V,TRUE
V(64),261,2,766,127,12,1,1,Eb,TRUE,V,TRUE
V6(+6),268,1,786,127,12,1,1,Eb,TRUE,V,TRUE
V,7,4,36,127,12,2,1.5,Ab,TRUE,V,TRUE
V64,10,5.5,55.5,127,12,2,1,Ab,TRUE,V,TRUE
V6]\\\\,11,4,60,127,12,2,1,Ab,TRUE,V,TRUE
V6,14,3.5,77.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V,14,5,79,127,12,2,0.5,Ab,TRUE,V,TRUE
V[V6,15,5.5,85.5,127,12,2,1,Ab,TRUE,V,TRUE
V(64),19,1,105,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),19,4,108,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),20,5,115,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),21,1,117,127,12,2,1.5,Ab,TRUE,V,TRUE
V6,22,1,123,127,12,2,0.5,Ab,TRUE,V,TRUE
V,22,1.5,123.5,127,12,2,1.25,Ab,TRUE,V,TRUE
V6/ii,24,1,135,127,12,2,0.5,Ab,TRUE,V,TRUE
V/V,24,3,137,127,12,2,0.5,Ab,TRUE,V,TRUE
V,24,5,139,127,12,2,1.5,Ab,TRUE,V,TRUE
V6/vi,25,1,141,127,12,2,0.5,Ab,TRUE,V,TRUE
V6(4),26,4,150,127,12,2,0.5,Ab,TRUE,V,TRUE
V6,26,4.5,150.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V,26,5,151,127,12,2,0.5,Ab,TRUE,V,TRUE
V6(2),30,6.5,176.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V6/V,33,6,194,127,12,2,0.75,Ab,TRUE,V,TRUE
V(64),34,2.5,196.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V(#42),35,1,201,127,12,2,1,Ab,TRUE,V,TRUE
V,35,2,202,127,12,2,0.5,Ab,TRUE,V,TRUE
V(64),38,4,222,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),39,4,228,127,12,2,1.5,Ab,TRUE,V,TRUE
V,41,1,237,127,12,2,0.5,Ab,TRUE,V,TRUE
V.V6/V,48,2.5,266.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V(64),48,3,267,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),53,1,285,127,12,2,1,Ab,TRUE,V,TRUE
V,53,2,286,127,12,2,0.75,Ab,TRUE,V,TRUE
V(64),53,2.875,286.875,127,12,2,1.125,Ab,TRUE,V,TRUE
V,53,4,288,127,12,2,0.5,Ab,TRUE,V,TRUE
V(64),54,3,291,127,12,2,1,Ab,TRUE,V,TRUE
V(64),55,1,293,127,12,2,1,Ab,TRUE,V,TRUE
V(64),55,3,295,127,12,2,1,Ab,TRUE,V,TRUE
V(64),59,1,309,127,12,2,1,Ab,TRUE,V,TRUE
V(64),59,3,311,127,12,2,1,Ab,TRUE,V,TRUE
V(64),60,1,313,127,12,2,0.5,Ab,TRUE,V,TRUE
V(64),60,3,315,127,12,2,1,Ab,TRUE,V,TRUE
V6(2),63,1,325,127,12,2,1,Ab,TRUE,V,TRUE
V6,63,2,326,127,12,2,1,Ab,TRUE,V,TRUE
V(4),64,3,331,127,12,2,1,Ab,TRUE,V,TRUE
V(4),65,1,333,127,12,2,1,Ab,TRUE,V,TRUE
V(b64),65,3,335,127,12,2,0.5,Ab,TRUE,V,TRUE
V,65,3.5,335.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V6,65,4,336,127,12,2,0.5,Ab,TRUE,V,TRUE
V6(2),67,1,341,127,12,2,1,Ab,TRUE,V,TRUE
V6,67,2,342,127,12,2,1,Ab,TRUE,V,TRUE
V6,68,3,347,127,12,2,1,Ab,TRUE,V,TRUE
V6,69,3.5,351.5,127,12,2,3.5,Ab,TRUE,V,TRUE
V6,73,2.5,366.5,127,12,2,1,Ab,TRUE,V,TRUE
V6,77,2.5,382.5,127,12,2,1,Ab,TRUE,V,TRUE
V6,77,4.5,384.5,127,12,2,0.5,Ab,TRUE,V,TRUE
I.V,81,1.5,399.5,127,12,2,1,Ab,TRUE,V,TRUE
V(64),84,1,417,127,12,2,1.5,Ab,TRUE,V,TRUE
V,84,4,420,127,12,2,2.5,Ab,TRUE,V,TRUE
V6/vi,87,1.5,435.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V6/ii,87,4,438,127,12,2,0.5,Ab,TRUE,V,TRUE
V(2),87,4.5,438.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V,87,5,439,127,12,2,0.5,Ab,TRUE,V,TRUE
V6,88,6,446,127,12,2,0.5,Ab,TRUE,V,TRUE
V(64),92,1,465,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),92,4,468,127,12,2,0.5,Ab,TRUE,V,TRUE
V6,92,4.5,468.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V64,96,3.75,491.75,127,12,2,0.25,Ab,TRUE,V,TRUE
V,99,5.5,511.5,127,12,2,1.5,Ab,TRUE,V,TRUE
V6,101,-13.5,504.5,127,12,2,1.5,Ab,TRUE,V,TRUE
V(6),103,2.5,532.5,127,12,2,1,Ab,TRUE,V,TRUE
V,103,3.5,533.5,127,12,2,2,Ab,TRUE,V,TRUE
V,103,5.5,535.5,127,12,2,1,Ab,TRUE,V,TRUE
V6,103,6.5,536.5,127,12,2,1.5,Ab,TRUE,V,TRUE
I.V(64),111,1,579,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),111,4,582,127,12,2,-14.5,Ab,TRUE,V,TRUE
V6/ii,113,6.5,596.5,127,12,2,0.5,Ab,TRUE,V,TRUE
V(64),115,5.5,607.5,127,12,2,6,Ab,TRUE,V,TRUE
V(64),120,1,633,127,12,2,2,Ab,TRUE,V,TRUE
V64,121,3,641,127,12,2,0.75,Ab,TRUE,V,TRUE
V,122,-12,632,127,12,2,19,Ab,TRUE,V,TRUE
V(64),125,4,666,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),128,1,681,127,12,2,1.5,Ab,TRUE,V,TRUE
V(64),128,4,684,127,12,2,1.5,Ab,TRUE,V,TRUE
V6/vi,129,2.25,688.25,127,12,2,0.25,Ab,TRUE,V,TRUE
V,1,2,2,127,12,3,1,Eb,TRUE,V,TRUE
V,2,1,4,127,12,3,3,Eb,TRUE,V,TRUE
V64/ii,7,3,21,127,12,3,1,Eb,TRUE,V,TRUE
V,9,1,25,127,12,3,2,Eb,TRUE,V,TRUE
V,10,1,28,127,12,3,2,Eb,TRUE,V,TRUE
V6,13,1,37,127,12,3,2,Eb,TRUE,V,TRUE
V,14,1,40,127,12,3,2,Eb,TRUE,V,TRUE
V6,15,3,45,127,12,3,1,Eb,TRUE,V,TRUE
V6,20,1,58,127,12,3,1,Eb,TRUE,V,TRUE
V,20,2,59,127,12,3,1,Eb,TRUE,V,TRUE
i,32,3,96,132,15,5,1,a,TRUE,?,TRUE
V/vi,27,3,81,127,12,3,2,Eb,TRUE,V,TRUE
V/V,29,2,86,127,12,3,2,Eb,TRUE,V,TRUE
V,30,1,88,127,12,3,1,Eb,TRUE,V,TRUE
V/vi,30,3,90,127,12,3,1,Eb,TRUE,V,TRUE
V6,33,3,99,127,12,3,0.5,Eb,TRUE,V,TRUE
V6,34,3.5,102.5,127,12,3,0.5,Eb,TRUE,V,TRUE
V,93,1,269,127,12,3,2,Eb,TRUE,V,TRUE
V,95,1,275,127,12,3,1,Eb,TRUE,V,TRUE
V64,95,2,276,127,12,3,1,Eb,TRUE,V,TRUE
i,34,1,100,132,15,5,3,a,TRUE,?,TRUE
V6,96,2,279,127,12,3,1,Eb,TRUE,V,TRUE
V,101,1,293,127,12,3,2,Eb,TRUE,V,TRUE
V6,103,1,299,127,12,3,2,Eb,TRUE,V,TRUE
V,104,1,302,127,12,3,1,Eb,TRUE,V,TRUE
V6,104,2,303,127,12,3,1,Eb,TRUE,V,TRUE
V6,109,3,319,127,12,3,1,Eb,TRUE,V,TRUE
V,114,1,332,127,12,3,1,Eb,TRUE,V,TRUE
V6,114,2,333,127,12,3,1,Eb,TRUE,V,TRUE
V,116,2,339,127,12,3,2,Eb,TRUE,V,TRUE
V6,119,1,347,127,12,3,1,Eb,TRUE,V,TRUE
V,119,2,348,127,12,3,2,Eb,TRUE,V,TRUE
V(64),121,1,353,127,12,3,1,Eb,TRUE,V,TRUE
V(64),121,3,355,127,12,3,1,Eb,TRUE,V,TRUE
V,124,3,364,127,12,3,2,Eb,TRUE,V,TRUE
V6,125,3,367,127,12,3,2,Eb,TRUE,V,TRUE
V,128,1,374,127,12,3,2,Eb,TRUE,V,TRUE
V64,138,1.75,404.75,127,12,3,1.25,Eb,TRUE,V,TRUE
V64,246,3,730,127,12,3,1,Eb,TRUE,V,TRUE
I.V,273,1,809,127,12,3,6,Eb,TRUE,V,TRUE
V,276,1,818,127,12,3,3,Eb,TRUE,V,TRUE
V6,277,1,821,127,12,3,3,Eb,TRUE,V,TRUE
V,42,1,83,18,2,4,2,G,FALSE,V+,TRUE
V,50,1,99,18,2,4,2,G,FALSE,V+,TRUE
V(64),51,1,101,18,2,4,2,G,FALSE,V+,TRUE
V(64#7),53,1,105,18,2,4,1,G,FALSE,V+,TRUE
V(64),53,2,106,18,2,4,1,G,FALSE,V+,TRUE
V64,278,1,824,127,12,3,3,Eb,TRUE,V,TRUE
V,279,3,829,127,12,3,1,Eb,TRUE,V,TRUE
V,283,1,839,127,12,3,2,Eb,TRUE,V,TRUE
V,4,4,16,127,12,4,1,Eb,TRUE,V,TRUE
V\\\\,12,3,47,127,12,4,1,Eb,TRUE,V,TRUE
V64,16,1,61,127,12,4,2,Eb,TRUE,V,TRUE
V6,19,4,76,127,12,4,1,Eb,TRUE,V,TRUE
V(64)/V,23,3,91,127,12,4,1,Eb,TRUE,V,TRUE
V,24,2,94,127,12,4,1,Eb,TRUE,V,TRUE
V\\\\,24,3,95,127,12,4,2,Eb,TRUE,V,TRUE
V,32,3,127,127,12,4,1,Eb,TRUE,V,TRUE
V,40,1,157,127,12,4,1,Eb,TRUE,V,TRUE
V,48,1,189,127,12,4,2,Eb,TRUE,V,TRUE
V6,52,1,205,127,12,4,2,Eb,TRUE,V,TRUE
V(64),54,1,213,127,12,4,1,Eb,TRUE,V,TRUE
V6,56,2,222,127,12,4,1,Eb,TRUE,V,TRUE
V6,58,1,229,127,12,4,1,Eb,TRUE,V,TRUE
V,58,3,231,127,12,4,1,Eb,TRUE,V,TRUE
V6,60,2,238,127,12,4,1,Eb,TRUE,V,TRUE
V,62,1,245,127,12,4,4,Eb,TRUE,V,TRUE
V,63,4,252,127,12,4,1,Eb,TRUE,V,TRUE
V[V64,66,1,261,127,12,4,1,Eb,TRUE,V,TRUE
V,69,2,274,127,12,4,3,Eb,TRUE,V,TRUE
V/ii,70,2,278,127,12,4,4,Eb,TRUE,V,TRUE
V/iii,72,1,285,127,12,4,1,Eb,TRUE,V,TRUE
V(64),76,3,303,127,12,4,1,Eb,TRUE,V,TRUE
V(64),80,3,319,127,12,4,1,Eb,TRUE,V,TRUE
V/V,102,1,405,127,12,4,1,Eb,TRUE,V,TRUE
i(+6),35,1,103,132,15,5,2,a,TRUE,?,TRUE
V6/ii,104,3,415,127,12,4,2,Eb,TRUE,V,TRUE
V64,110,1,437,127,12,4,1,Eb,TRUE,V,TRUE
V6,110,3,439,127,12,4,1,Eb,TRUE,V,TRUE
V64],110,4,440,127,12,4,1,Eb,TRUE,V,TRUE
V,135,3,539,127,12,4,2,Eb,TRUE,V,TRUE
V,149,4,596,127,12,4,1,Eb,TRUE,V,TRUE
V6,150,2,598,127,12,4,1,Eb,TRUE,V,TRUE
V(64),154,1,613,127,12,4,2,Eb,TRUE,V,TRUE
V(64),155,1,617,127,12,4,2,Eb,TRUE,V,TRUE
V],156,1,621,127,12,4,1,Eb,TRUE,V,TRUE
V64,158,2,630,127,12,4,1,Eb,TRUE,V,TRUE
V6,163,1,649,127,12,4,4,Eb,TRUE,V,TRUE
V(94),164,1,653,127,12,4,2,Eb,TRUE,V,TRUE
V,164,3,655,127,12,4,2,Eb,TRUE,V,TRUE
I.V6/ii,170,4,680,127,12,4,1,Eb,TRUE,V,TRUE
V,171,4,684,127,12,4,1,Eb,TRUE,V,TRUE
V(64),176,1,701,127,12,4,1,Eb,TRUE,V,TRUE
V6/vi,178,4,712,127,12,4,6,Eb,TRUE,V,TRUE
i,35,3,105,132,15,5,1,a,TRUE,?,TRUE
V6/ii,190,2,758,127,12,4,1,Eb,TRUE,V,TRUE
V[V64,191,2,762,127,12,4,1,Eb,TRUE,V,TRUE
V(64),97,1,193,18,2,4,2,G,FALSE,V+,TRUE
V(64),99,1,197,18,2,4,2,G,FALSE,V+,TRUE
V(64),101,1,201,18,2,4,2,G,FALSE,V+,TRUE
V6,191,4,764,127,12,4,1,Eb,TRUE,V,TRUE
V(64),194,1,773,127,12,4,1,Eb,TRUE,V,TRUE
V\\\\,194,3,775,127,12,4,1,Eb,TRUE,V,TRUE
V/V,197,4,788,127,12,4,1,Eb,TRUE,V,TRUE
V64,198,1,789,127,12,4,2,Eb,TRUE,V,TRUE
V6(2),206,1,821,127,12,4,1,Eb,TRUE,V,TRUE
V6,206,2,822,127,12,4,1,Eb,TRUE,V,TRUE
V6],206,3,823,127,12,4,1,Eb,TRUE,V,TRUE
V,209,3,835,127,12,4,1,Eb,TRUE,V,TRUE
V,213,3,851,127,12,4,1,Eb,TRUE,V,TRUE
V64/V,213,4,852,127,12,4,1,Eb,TRUE,V,TRUE
V6,214,3,855,127,12,4,1,Eb,TRUE,V,TRUE
V(64),218,1,869,127,12,4,1,Eb,TRUE,V,TRUE
V,222,1,885,127,12,4,1,Eb,TRUE,V,TRUE
V(94),222,2,886,127,12,4,1,Eb,TRUE,V,TRUE
V\\\\,222,3,887,127,12,4,1,Eb,TRUE,V,TRUE
V,226,1,901,127,12,4,1,Eb,TRUE,V,TRUE
V,226,3,903,127,12,4,1,Eb,TRUE,V,TRUE
V,227,4,908,127,12,4,1,Eb,TRUE,V,TRUE
V64,230,1,917,127,12,4,1,Eb,TRUE,V,TRUE
V[V64,230,3,919,127,12,4,1,Eb,TRUE,V,TRUE
V,233,1,929,127,12,4,4,Eb,TRUE,V,TRUE
V(64),240,3,959,127,12,4,1,Eb,TRUE,V,TRUE
V(64),244,3,975,127,12,4,1,Eb,TRUE,V,TRUE
V(64),285,2.5,1109.5,127,12,4,0.5,Eb,TRUE,V,TRUE
V(64),286,2.5,1112.5,127,12,4,0.5,Eb,TRUE,V,TRUE
V,291,3,1128,127,12,4,1.5,Eb,TRUE,V,TRUE
V,292,3,1131,127,12,4,1,Eb,TRUE,V,TRUE
V,298,1,1147,127,12,4,3,Eb,TRUE,V,TRUE
V6,1,1,2,130,13,1,1.5,Bb,TRUE,V,TRUE
V,2,2,6,130,13,1,1,Bb,TRUE,V,TRUE
V6,4,3.5,13.5,130,13,1,1.5,Bb,TRUE,V,TRUE
V(9+#74),6,3.5,19.5,130,13,1,0.25,Bb,TRUE,V,TRUE
V,144,1,287,18,2,4,2,G,FALSE,V+,TRUE
V,150,2.5,300.5,18,2,4,0.5,G,FALSE,V+,TRUE
V\\\\,155,1,309,18,2,4,1,G,FALSE,V+,TRUE
V,155,2,310,18,2,4,1,G,FALSE,V+,TRUE
v,156,1,311,18,2,4,1.5,G,FALSE,V,TRUE
V6,157,2.5,314.5,18,2,4,0.5,G,FALSE,V+,TRUE
V\\\\,163,1,325,18,2,4,0.5,G,FALSE,V+,TRUE
V(64),164,1,327,18,2,4,2,G,FALSE,V+,TRUE
V(64),166,1,331,18,2,4,2,G,FALSE,V+,TRUE
V,167,1,333,18,2,4,2,G,FALSE,V+,TRUE
V(64),168,1,335,18,2,4,2,G,FALSE,V+,TRUE
V,169,1,337,18,2,4,2,G,FALSE,V+,TRUE
V(64),170,1,339,18,2,4,2,G,FALSE,V+,TRUE
V\\\\,171,1,341,18,2,4,2,G,FALSE,V+,TRUE
V,172,1,343,18,2,4,6,G,FALSE,V+,TRUE
V,6,3.75,19.75,130,13,1,0.25,Bb,TRUE,V,TRUE
V\\\\,7,1,20,130,13,1,3,Bb,TRUE,V,TRUE
V6/ii,8,2.5,24.5,130,13,1,0.5,Bb,TRUE,V,TRUE
V6(4),9,1,26,130,13,1,0.5,Bb,TRUE,V,TRUE
V6,9,1.5,26.5,130,13,1,1,Bb,TRUE,V,TRUE
V,9,2.5,27.5,130,13,1,1,Bb,TRUE,V,TRUE
V/vi,9,3.5,28.5,130,13,1,0.5,Bb,TRUE,V,TRUE
V,11,1.5,32.5,130,13,1,0.5,Bb,TRUE,V,TRUE
i,38,1,112,132,15,5,3,a,TRUE,?,TRUE
i(+6),39,1,115,132,15,5,2,a,TRUE,?,TRUE
V\\\\,14,2.5,42.5,130,13,1,1.5,Bb,TRUE,V,TRUE
V,20,1,64,130,13,1,3,Bb,TRUE,V,TRUE
V64/IV],31,4,106,130,13,1,1,Bb,TRUE,V,TRUE
V(64),34,1,115,130,13,1,3,Bb,TRUE,V,TRUE
V(b64),36,3,125,130,13,1,0.5,Bb,TRUE,V,TRUE
V(64),36,3.5,125.5,130,13,1,0.5,Bb,TRUE,V,TRUE
V64/IV,37,3.5,129.5,130,13,1,0.5,Bb,TRUE,V,TRUE
V64/IV,37,4.5,130.5,130,13,1,0.5,Bb,TRUE,V,TRUE
V,38,3,133,130,13,1,0.5,Bb,TRUE,V,TRUE
