chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
I(+4),,217,1,433,2/4,18,1,4,1,FALSE,I,,I,,,4,,FALSE
I,,217,2,434,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
V6,,217,2.5,434.5,2/4,18,1,4,0.5,FALSE,I,,V,,6,,,FALSE
vi7,,218,1,435,2/4,18,1,4,1.5,FALSE,I,,vi,,7,,,FALSE
#viio6/V,,218,2.5,436.5,2/4,18,1,4,0.5,FALSE,I,,#vii,o,6,,V,FALSE
V,,219,1,437,2/4,18,1,4,4,FALSE,I,,V,,,,,FALSE
V7/V,,221,1,441,2/4,18,1,4,4,FALSE,I,,V,,7,,V,FALSE
V,,223,1,445,2/4,18,1,4,4,FALSE,I,,V,,,,,FALSE
V2,,225,1,449,2/4,18,1,4,4,FALSE,I,,V,,2,,,FALSE
V7,,227,1,453,2/4,18,1,4,4,FALSE,I,,V,,7,,,FALSE
iv6,,229,1,457,2/4,18,1,4,1,FALSE,I,,iv,,6,,,FALSE
V7,,229,2,458,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
iv6,,230,1,459,2/4,18,1,4,1,FALSE,I,,iv,,6,,,FALSE
V7,,230,2,460,2/4,18,1,4,9,FALSE,I,,V,,7,,,FALSE
I\\\\,,235,1,469,2/4,18,1,4,0.5,FALSE,I,,I,,,,,TRUE
I,,235,1.5,469.5,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V43,,236,1,471,2/4,18,1,4,1,FALSE,I,,V,,43,,,FALSE
V65,,236,2,472,2/4,18,1,4,1,FALSE,I,,V,,65,,,FALSE
V,,237,1,473,2/4,18,1,4,2,FALSE,I,,V,,,,,FALSE
I6,,238,1,475,2/4,18,1,4,1,FALSE,I,,I,,6,,,FALSE
I,,238,2,476,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V,,239,1,477,2/4,18,1,4,0.5,FALSE,I,,V,,,,,FALSE
V65,,239,1.5,477.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,239,2,478,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V,,240,1,479,2/4,18,1,4,0.5,FALSE,I,,V,,,,,FALSE
V65,,240,1.5,479.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,240,2,480,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V.I6,,241,1,481,2/4,18,1,4,1,FALSE,V,,I,,6,,,FALSE
IV,,241,2,482,2/4,18,1,4,0.5,FALSE,V,,IV,,,,,FALSE
V65/V,,241,2.5,482.5,2/4,18,1,4,0.5,FALSE,V,,V,,65,,V,FALSE
V(64),,242,1,483,2/4,18,1,4,0.5,FALSE,V,,V,,,64,,FALSE
V7,,242,1.5,483.5,2/4,18,1,4,0.5,FALSE,V,,V,,7,,,FALSE
I\\\\,,242,2,484,2/4,18,1,4,1,FALSE,V,,I,,,,,TRUE
I.I,,243,1,485,2/4,18,1,4,2,FALSE,I,,I,,,,,FALSE
viio6,,244,1,487,2/4,18,1,4,1,FALSE,I,,vii,o,6,,,FALSE
V7,,244,2,488,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
V,,245,1,489,2/4,18,1,4,2,FALSE,I,,V,,,,,FALSE
I6,,246,1,491,2/4,18,1,4,1,FALSE,I,,I,,6,,,FALSE
I,,246,2,492,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V65,,247,1.5,493.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,247,2,494,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V,,248,1,495,2/4,18,1,4,0.5,FALSE,I,,V,,,,,FALSE
V65,,248,1.5,495.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,248,2,496,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V,,249,1,497,2/4,18,1,4,0.5,FALSE,I,,V,,,,,FALSE
V65,,249,1.5,497.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,249,2,498,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
#viio7/ii,,249,2.5,498.5,2/4,18,1,4,0.5,FALSE,I,,#vii,o,7,,ii,FALSE
ii,,250,1,499,2/4,18,1,4,0.5,FALSE,I,,ii,,,,,FALSE
#viio7/vi,,250,1.5,499.5,2/4,18,1,4,0.5,FALSE,I,,#vii,o,7,,vi,FALSE
vi,,250,2,500,2/4,18,1,4,0.5,FALSE,I,,vi,,,,,FALSE
V65/V,,250,2.5,500.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,V,FALSE
V(64),,251,1,501,2/4,18,1,4,1,FALSE,I,,V,,,64,,FALSE
V7,,251,2,502,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I\\\\,,252,1,503,2/4,18,1,4,2,FALSE,I,,I,,,,,TRUE
I,,253,1,505,2/4,18,1,4,2,FALSE,I,,I,,,,,FALSE
V2,,254,1,507,2/4,18,1,4,2,FALSE,I,,V,,2,,,FALSE
V7,,255,1,509,2/4,18,1,4,2,FALSE,I,,V,,7,,,FALSE
I,,256,1,511,2/4,18,1,4,6,FALSE,I,,I,,,,,FALSE
V6,,259,1,517,2/4,18,1,4,2,FALSE,I,,V,,6,,,FALSE
I(4+2),,260,1,519,2/4,18,1,4,1,FALSE,I,,I,,,4+2,,FALSE
I\\\\,,260,2,520,2/4,18,1,4,1,FALSE,I,,I,,,,,TRUE
V/vi,,261,1,521,2/4,18,1,4,2,FALSE,I,,V,,,,vi,FALSE
vi,,262,1,523,2/4,18,1,4,2,FALSE,I,,vi,,,,,FALSE
V,,263,1,525,2/4,18,1,4,2,FALSE,I,,V,,,,,FALSE
vi,,264,1,527,2/4,18,1,4,2,FALSE,I,,vi,,,,,FALSE
@none,,265,1,529,2/4,18,1,4,4,FALSE,I,,,,,,,FALSE
V7/IV,,267,1,533,2/4,18,1,4,2,FALSE,I,,V,,7,,IV,FALSE
IV,,268,1,535,2/4,18,1,4,2,FALSE,I,,IV,,,,,FALSE
I,,269,1,537,2/4,18,1,4,2,FALSE,I,,I,,,,,FALSE
V7/IV,,270,1,539,2/4,18,1,4,2,FALSE,I,,V,,7,,IV,FALSE
IV,,271,1,541,2/4,18,1,4,2,FALSE,I,,IV,,,,,FALSE
ii6,,272,1,543,2/4,18,1,4,2,FALSE,I,,ii,,6,,,FALSE
V64/ii,,273,1,545,2/4,18,1,4,2,FALSE,I,,V,,64,,ii,FALSE
V/ii,,274,1,547,2/4,18,1,4,2,FALSE,I,,V,,,,ii,FALSE
ii,,275,1,549,2/4,18,1,4,25,FALSE,I,,ii,,,,,FALSE
V2/V,,275,26,574,2/4,18,1,4,-23,FALSE,I,,V,,2,,V,FALSE
V6,,276,1,551,2/4,18,1,4,25,FALSE,I,,V,,6,,,FALSE
V7,,276,26,576,2/4,18,1,4,-23,FALSE,I,,V,,7,,,FALSE
I,,277,1,553,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V6,,277,2,554,2/4,18,1,4,1,FALSE,I,,V,,6,,,FALSE
vi7,,278,1,555,2/4,18,1,4,1,FALSE,I,,vi,,7,,,FALSE
V/V,,278,2,556,2/4,18,1,4,1,FALSE,I,,V,,,,V,FALSE
V.I,,279,1,557,2/4,18,1,4,2,FALSE,V,,I,,,,,FALSE
V43,,280,1,559,2/4,18,1,4,2,FALSE,V,,V,,43,,,FALSE
I6,,281,1,561,2/4,18,1,4,2,FALSE,V,,I,,6,,,FALSE
V2,,282,1,563,2/4,18,1,4,1.5,FALSE,V,,V,,2,,,FALSE
V65,,282,2.5,564.5,2/4,18,1,4,0.5,FALSE,V,,V,,65,,,FALSE
I,,283,1,565,2/4,18,1,4,0.5,FALSE,V,,I,,,,,FALSE
V,,283,1.5,565.5,2/4,18,1,4,0.5,FALSE,V,,V,,,,,FALSE
V6,,283,2,566,2/4,18,1,4,0.5,FALSE,V,,V,,6,,,FALSE
I(6),,283,2.5,566.5,2/4,18,1,4,0.5,FALSE,V,,I,,,6,,FALSE
V43,,284,1,567,2/4,18,1,4,1,FALSE,V,,V,,43,,,FALSE
I,,284,2,568,2/4,18,1,4,0.5,FALSE,V,,I,,,,,FALSE
V43,,284,2.5,568.5,2/4,18,1,4,0.5,FALSE,V,,V,,43,,,FALSE
I6,,285,1,569,2/4,18,1,4,1,FALSE,V,,I,,6,,,FALSE
V65/IV,,285,2,570,2/4,18,1,4,1,FALSE,V,,V,,65,,IV,FALSE
V7/IV,,286,1,571,2/4,18,1,4,1.5,FALSE,V,,V,,7,,IV,FALSE
V65/IV,,286,2.5,572.5,2/4,18,1,4,0.5,FALSE,V,,V,,65,,IV,FALSE
I.I,,287,1,573,2/4,18,1,4,2,FALSE,I,,I,,,,,FALSE
V65,,288,1,575,2/4,18,1,4,2,FALSE,I,,V,,65,,,FALSE
I6,,289,1,577,2/4,18,1,4,2,FALSE,I,,I,,6,,,FALSE
V2,,290,1,579,2/4,18,1,4,0.5,FALSE,I,,V,,2,,,FALSE
V,,290,1.5,579.5,2/4,18,1,4,1,FALSE,I,,V,,,,,FALSE
V6,,290,2.5,580.5,2/4,18,1,4,0.5,FALSE,I,,V,,6,,,FALSE
I,,291,1,581,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V6,,291,2,582,2/4,18,1,4,1,FALSE,I,,V,,6,,,FALSE
V43,,292,1,583,2/4,18,1,4,1,FALSE,I,,V,,43,,,FALSE
I,,292,2,584,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
V43,,292,2.5,584.5,2/4,18,1,4,0.5,FALSE,I,,V,,43,,,FALSE
I6,,293,1,585,2/4,18,1,4,2,FALSE,I,,I,,6,,,FALSE
V2,,294,1,587,2/4,18,1,4,1.5,FALSE,I,,V,,2,,,FALSE
V65,,294,2.5,588.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,295,1,589,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V65,,295,2.5,590.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,296,1,591,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V65/vi,,296,2.5,592.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,vi,FALSE
vi,,297,1,593,2/4,18,1,4,1.5,FALSE,I,,vi,,,,,FALSE
V65/IV,,297,2.5,594.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,IV,FALSE
IV,,298,1,595,2/4,18,1,4,2,FALSE,I,,IV,,,,,FALSE
IV,,299,1,597,2/4,18,1,4,1.5,FALSE,I,,IV,,,,,FALSE
ii6,,299,2.5,598.5,2/4,18,1,4,0.5,FALSE,I,,ii,,6,,,FALSE
V(64),,300,1,599,2/4,18,1,4,1,FALSE,I,,V,,,64,,FALSE
V7\\\\,,300,2,600,2/4,18,1,4,1,FALSE,I,,V,,7,,,TRUE
@none,,301,1,601,2/4,18,1,4,1.5,FALSE,I,,,,,,,FALSE
V65,,301,2.5,602.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,302,1,603,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V65/vi,,302,2.5,604.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,vi,FALSE
vi,,303,1,605,2/4,18,1,4,1.5,FALSE,I,,vi,,,,,FALSE
V65/IV,,303,2.5,606.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,IV,FALSE
IV,,304,1,607,2/4,18,1,4,1.5,FALSE,I,,IV,,,,,FALSE
V65/ii,,304,2.5,608.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,ii,FALSE
ii,,305,1,609,2/4,18,1,4,2,FALSE,I,,ii,,,,,FALSE
V7(+2),,306,1,611,2/4,18,1,4,1,FALSE,I,,V,,7,2,,FALSE
V(64),,306,2,612,2/4,18,1,4,0.5,FALSE,I,,V,,,64,,FALSE
V7,,306,2.5,612.5,2/4,18,1,4,0.5,FALSE,I,,V,,7,,,FALSE
I\\\\,,307,1,613,2/4,18,1,4,0.5,FALSE,I,,I,,,,,TRUE
I,,307,1.5,613.5,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V7,,307,2.5,614.5,2/4,18,1,4,0.5,FALSE,I,,V,,7,,,FALSE
I,,308,1,615,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V7,,308,2.5,616.5,2/4,18,1,4,0.5,FALSE,I,,V,,7,,,FALSE
I,,309,1,617,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
ii6,,309,2.5,618.5,2/4,18,1,4,0.5,FALSE,I,,ii,,6,,,FALSE
V(64),,310,1,619,2/4,18,1,4,1,FALSE,I,,V,,,64,,FALSE
V7,,310,2,620,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
i6\\\\,,311,1,621,2/4,18,1,4,0.5,FALSE,I,,i,,6,,,TRUE
i.i,,311,1.5,621.5,2/4,18,1,4,27,FALSE,i,,i,,,,,FALSE
V,,311,28.5,648.5,2/4,18,1,4,-25.5,FALSE,i,,V,,,,,FALSE
i6,,312,1,623,2/4,18,1,4,0.5,FALSE,i,,i,,6,,,FALSE
i,,312,1.5,623.5,2/4,18,1,4,27,FALSE,i,,i,,,,,FALSE
V7,,312,28.5,650.5,2/4,18,1,4,-25.5,FALSE,i,,V,,7,,,FALSE
i6,,313,1,625,2/4,18,1,4,0.5,FALSE,i,,i,,6,,,FALSE
i,,313,1.5,625.5,2/4,18,1,4,0.5,FALSE,i,,i,,,,,FALSE
iio6,,313,2,626,2/4,18,1,4,1,FALSE,i,,ii,o,6,,,FALSE
V(64),,314,1,627,2/4,18,1,4,1,FALSE,i,,V,,,64,,FALSE
V7,,314,2,628,2/4,18,1,4,1,FALSE,i,,V,,7,,,FALSE
i\\\\,,315,1,629,2/4,18,1,4,27.5,FALSE,i,,i,,,,,TRUE
i,,315,28.5,656.5,2/4,18,1,4,-25.5,FALSE,i,,i,,,,,FALSE
V7,,316,1,631,2/4,18,1,4,2,FALSE,i,,V,,7,,,FALSE
i,,317,1,633,2/4,18,1,4,2,FALSE,i,,i,,,,,FALSE
V7,,318,1,635,2/4,18,1,4,2,FALSE,i,,V,,7,,,FALSE
I.I,,319,1,637,2/4,18,1,4,2,FALSE,I,,I,,,,,FALSE
V65,,320,1,639,2/4,18,1,4,2,FALSE,I,,V,,65,,,FALSE
I,,321,1,641,2/4,18,1,4,2,FALSE,I,,I,,,,,FALSE
V2,,322,1,643,2/4,18,1,4,1.5,FALSE,I,,V,,2,,,FALSE
V43,,322,2.5,644.5,2/4,18,1,4,0.5,FALSE,I,,V,,43,,,FALSE
I,,323,1,645,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
IV6,,323,2.5,646.5,2/4,18,1,4,0.5,FALSE,I,,IV,,6,,,FALSE
V2/IV,,324,1,647,2/4,18,1,4,1.5,FALSE,I,,V,,2,,IV,FALSE
V64/IV,,324,2.5,648.5,2/4,18,1,4,0.5,FALSE,I,,V,,64,,IV,FALSE
IV6,,325,1,649,2/4,18,1,4,1.5,FALSE,I,,IV,,6,,,FALSE
IV,,325,2.5,650.5,2/4,18,1,4,0.5,FALSE,I,,IV,,,,,FALSE
V43/IV,,326,1,651,2/4,18,1,4,1.5,FALSE,I,,V,,43,,IV,FALSE
V7/IV,,326,2.5,652.5,2/4,18,1,4,0.5,FALSE,I,,V,,7,,IV,FALSE
IV,,327,1,653,2/4,18,1,4,2,FALSE,I,,IV,,,,,FALSE
V43/IV,,328,1,655,2/4,18,1,4,1,FALSE,I,,V,,43,,IV,FALSE
V65/IV,,328,2,656,2/4,18,1,4,1,FALSE,I,,V,,65,,IV,FALSE
@none,,329,1,657,2/4,18,1,4,2,FALSE,I,,,,,,,FALSE
#viio65/V,,330,1,659,2/4,18,1,4,1,FALSE,I,,#vii,o,65,,V,FALSE
#viio7/V,,330,2,660,2/4,18,1,4,1,FALSE,I,,#vii,o,7,,V,FALSE
@none,,331,1,661,2/4,18,1,4,2,FALSE,I,,,,,,,FALSE
#viio7/vi,,332,1,663,2/4,18,1,4,8,FALSE,I,,#vii,o,7,,vi,FALSE
#viio7/ii,,336,1,671,2/4,18,1,4,4,FALSE,I,,#vii,o,7,,ii,FALSE
#viio7/V,,338,1,675,2/4,18,1,4,8,FALSE,I,,#vii,o,7,,V,FALSE
viio7,,342,1,683,2/4,18,1,4,4,FALSE,I,,vii,o,7,,,FALSE
viio43,,344,1,687,2/4,18,1,4,3,FALSE,I,,vii,o,43,,,FALSE
V7,,345,2,690,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I6\\\\,,346,1,691,2/4,18,1,4,2,FALSE,I,,I,,6,,,TRUE
viio,,347,1,693,2/4,18,1,4,2,FALSE,I,,vii,o,,,,FALSE
V7,,348,1,695,2/4,18,1,4,2,FALSE,I,,V,,7,,,FALSE
I,,349,1,697,2/4,18,1,4,4,FALSE,I,,I,,,,,FALSE
V43,,351,1,701,2/4,18,1,4,1.5,FALSE,I,,V,,43,,,FALSE
V7,,351,2.5,702.5,2/4,18,1,4,0.5,FALSE,I,,V,,7,,,FALSE
V2,,352,1,703,2/4,18,1,4,1.5,FALSE,I,,V,,2,,,FALSE
V7,,352,2.5,704.5,2/4,18,1,4,0.5,FALSE,I,,V,,7,,,FALSE
I6,,353,1,705,2/4,18,1,4,2,FALSE,I,,I,,6,,,FALSE
I,,354,1,707,2/4,18,1,4,2,FALSE,I,,I,,,,,FALSE
V65,,355,1,709,2/4,18,1,4,29,FALSE,I,,V,,65,,,FALSE
V43,,355,30,738,2/4,18,1,4,-27,FALSE,I,,V,,43,,,FALSE
V2,,356,1,711,2/4,18,1,4,2,FALSE,I,,V,,2,,,FALSE
I6,,357,1,713,2/4,18,1,4,2,FALSE,I,,I,,6,,,FALSE
V7/IV,,358,1,715,2/4,18,1,4,2,FALSE,I,,V,,7,,IV,FALSE
IV,,359,1,717,2/4,18,1,4,2,FALSE,I,,IV,,,,,FALSE
V7,,360,1,719,2/4,18,1,4,2,FALSE,I,,V,,7,,,FALSE
I\\\\,,361,1,721,2/4,18,1,4,0.5,FALSE,I,,I,,,,,TRUE
I,,361,1.5,721.5,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V7/IV,,362,1,723,2/4,18,1,4,2,FALSE,I,,V,,7,,IV,FALSE
IV,,363,1,725,2/4,18,1,4,2,FALSE,I,,IV,,,,,FALSE
V7,,364,1,727,2/4,18,1,4,2,FALSE,I,,V,,7,,,FALSE
I\\\\,,365,1,729,2/4,18,1,4,1.5,FALSE,I,,I,,,,,TRUE
V65,,365,2.5,730.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,366,1,731,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V65,,366,2.5,732.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,367,1,733,2/4,18,1,4,1.5,FALSE,I,,I,,,,,FALSE
V65,,367,2.5,734.5,2/4,18,1,4,0.5,FALSE,I,,V,,65,,,FALSE
I,,368,1,735,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V65,,368,2,736,2/4,18,1,4,1,FALSE,I,,V,,65,,,FALSE
I,,369,1,737,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
V2/IV,,369,1.5,737.5,2/4,18,1,4,0.5,FALSE,I,,V,,2,,IV,FALSE
IV6,,369,2,738,2/4,18,1,4,0.5,FALSE,I,,IV,,6,,,FALSE
IV,,369,2.5,738.5,2/4,18,1,4,0.5,FALSE,I,,IV,,,,,FALSE
V65/IV,,370,1,739,2/4,18,1,4,1,FALSE,I,,V,,65,,IV,FALSE
IV,,370,2,740,2/4,18,1,4,1,FALSE,I,,IV,,,,,FALSE
V43,,371,1,741,2/4,18,1,4,0.5,FALSE,I,,V,,43,,,FALSE
V,,371,1.5,741.5,2/4,18,1,4,0.5,FALSE,I,,V,,,,,FALSE
I6,,371,2,742,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
I,,371,2.5,742.5,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
V2,,372,1,743,2/4,18,1,4,0.5,FALSE,I,,V,,2,,,FALSE
I6,,372,1.5,743.5,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
ii65,,372,2,744,2/4,18,1,4,0.5,FALSE,I,,ii,,65,,,FALSE
#viio/V,,372,2.5,744.5,2/4,18,1,4,0.5,FALSE,I,,#vii,o,,,V,FALSE
V(64),,373,1,745,2/4,18,1,4,1,FALSE,I,,V,,,64,,FALSE
V7,,373,2,746,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I\\\\,,374,1,747,2/4,18,1,4,0.5,FALSE,I,,I,,,,,TRUE
I6,,374,1.5,747.5,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
V7,,374,2,748,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I,,375,1,749,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
I6,,375,1.5,749.5,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
V7,,375,2,750,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I,,376,1,751,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
I6,,376,1.5,751.5,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
V7,,376,2,752,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I,,377,1,753,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
I6,,377,1.5,753.5,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
V7,,377,2,754,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I,,378,1,755,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
I6,,378,1.5,755.5,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
V7,,378,2,756,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I,,379,1,757,2/4,18,1,4,0.5,FALSE,I,,I,,,,,FALSE
I6,,379,1.5,757.5,2/4,18,1,4,0.5,FALSE,I,,I,,6,,,FALSE
V7,,379,2,758,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I,,380,1,759,2/4,18,1,4,1,FALSE,I,,I,,,,,FALSE
V7,,380,2,760,2/4,18,1,4,1,FALSE,I,,V,,7,,,FALSE
I\\\\,,381,1,761,2/4,18,1,4,2,FALSE,I,,I,,,,,TRUE
.G.I,,1,1,1,2/4,18,2,1,4,G,I,,I,,,,,FALSE
V7,,3,1,5,2/4,18,2,1,2,G,I,,V,,7,,,FALSE
V7\\\\,,4,1,7,2/4,18,2,1,2,G,I,,V,,7,,,TRUE
I,,5,1,9,2/4,18,2,1,0.5,G,I,,I,,,,,FALSE
vi,,5,1.5,9.5,2/4,18,2,1,0.5,G,I,,vi,,,,,FALSE
ii65,,5,2,10,2/4,18,2,1,0.5,G,I,,ii,,65,,,FALSE
V7,,5,2.5,10.5,2/4,18,2,1,0.5,G,I,,V,,7,,,FALSE
I6,,6,1,11,2/4,18,2,1,0.5,G,I,,I,,6,,,FALSE
I,,6,1.5,11.5,2/4,18,2,1,2,G,I,,I,,,,,FALSE
vi,,7,1.5,13.5,2/4,18,2,1,0.5,G,I,,vi,,,,,FALSE
ii65,,7,2,14,2/4,18,2,1,0.5,G,I,,ii,,65,,,FALSE
V7,,7,2.5,14.5,2/4,18,2,1,0.5,G,I,,V,,7,,,FALSE
I\\\\,,8,1,15,2/4,18,2,1,2,G,I,,I,,,,,TRUE
I,,9,1,17,2/4,18,2,1,2,G,I,,I,,,,,FALSE
V43,,10,1,19,2/4,18,2,1,2,G,I,,V,,43,,,FALSE
I6,,11,1,21,2/4,18,2,1,1,G,I,,I,,6,,,FALSE
I,,11,2,22,2/4,18,2,1,1,G,I,,I,,,,,FALSE
V\\\\,,12,1,23,2/4,18,2,1,2,G,I,,V,,,,,TRUE
I,,13,1,25,2/4,18,2,1,2,G,I,,I,,,,,FALSE
V43,,14,1,27,2/4,18,2,1,2,G,I,,V,,43,,,FALSE
I6,,15,1,29,2/4,18,2,1,1,G,I,,I,,6,,,FALSE
I,,15,2,30,2/4,18,2,1,1,G,I,,I,,,,,FALSE
V,,16,1,31,2/4,18,2,1,2,G,I,,V,,,,,FALSE
IV6,,17,1,33,2/4,18,2,1,1,G,I,,IV,,6,,,FALSE
iv6,,17,2,34,2/4,18,2,1,1,G,I,,iv,,6,,,FALSE
V7,,18,1,35,2/4,18,2,1,1.5,G,I,,V,,7,,,FALSE
V65,,18,2.5,36.5,2/4,18,2,1,0.5,G,I,,V,,65,,,FALSE
I,,19,1,37,2/4,18,2,1,0.875,G,I,,I,,,,,FALSE
vi,,19,1.875,37.875,2/4,18,2,1,0.125,G,I,,vi,,,,,FALSE
ii65,,19,2,38,2/4,18,2,1,0.875,G,I,,ii,,65,,,FALSE
V7,,19,2.875,38.875,2/4,18,2,1,0.125,G,I,,V,,7,,,FALSE
I\\\\,,20,1,39,2/4,18,2,1,2,G,I,,I,,,,,TRUE
V,,21,1,41,2/4,18,2,1,2,G,I,,V,,,,,FALSE
I,,22,1,43,2/4,18,2,1,2,G,I,,I,,,,,FALSE
V43,,23,1,45,2/4,18,2,1,1,G,I,,V,,43,,,FALSE
I,,23,2,46,2/4,18,2,1,1,G,I,,I,,,,,FALSE
V6,,24,1,47,2/4,18,2,1,2,G,I,,V,,6,,,FALSE
V/vi,,25,1,49,2/4,18,2,1,2,G,I,,V,,,,vi,FALSE
vi,,26,1,51,2/4,18,2,1,2,G,I,,vi,,,,,FALSE
V43/vi,,27,1,53,2/4,18,2,1,1,G,I,,V,,43,,vi,FALSE
vi,,27,2,54,2/4,18,2,1,1,G,I,,vi,,,,,FALSE
V6/vi,,28,1,55,2/4,18,2,1,1,G,I,,V,,6,,vi,FALSE
V.ii,,28,2,56,2/4,18,2,1,1,G,V,,ii,,,,,FALSE
V43,,29,1,57,2/4,18,2,1,1,G,V,,V,,43,,,FALSE
I,,29,2,58,2/4,18,2,1,1,G,V,,I,,,,,FALSE
V6,,30,1,59,2/4,18,2,1,1,G,V,,V,,6,,,FALSE
i,,30,2,60,2/4,18,2,1,1,G,V,,i,,,,,FALSE
V43,,31,1,61,2/4,18,2,1,1,G,V,,V,,43,,,FALSE
i,,31,2,62,2/4,18,2,1,1,G,V,,i,,,,,FALSE
V,,32,1,63,2/4,18,2,1,1,G,V,,V,,,,,FALSE
i,,32,2,64,2/4,18,2,1,1,G,V,,i,,,,,FALSE
V,,33,1,65,2/4,18,2,1,1,G,V,,V,,,,,FALSE
i,,33,2,66,2/4,18,2,1,1,G,V,,i,,,,,FALSE
V,,34,1,67,2/4,18,2,1,2,G,V,,V,,,,,FALSE
V\\\\,,35,1,69,2/4,18,2,1,2,G,V,,V,,,,,TRUE
I,,36,1,71,2/4,18,2,1,1,G,V,,I,,,,,FALSE
V2,,36,2,72,2/4,18,2,1,1,G,V,,V,,2,,,FALSE
I6,,37,1,73,2/4,18,2,1,1.5,G,V,,I,,6,,,FALSE
viio7,,37,2.5,74.5,2/4,18,2,1,0.5,G,V,,vii,o,7,,,FALSE
I,,38,1,75,2/4,18,2,1,0.5,G,V,,I,,,,,FALSE
#viio7/vi,,38,1.5,75.5,2/4,18,2,1,0.5,G,V,,#vii,o,7,,vi,FALSE
vi,,38,2,76,2/4,18,2,1,0.5,G,V,,vi,,,,,FALSE
V65/V,,38,2.5,76.5,2/4,18,2,1,0.5,G,V,,V,,65,,V,FALSE
V,,39,1,77,2/4,18,2,1,2,G,V,,V,,,,,FALSE
